code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP15225469,"PURCHASE OF OFFICE FURNITURE & FITTINGS-OFFICE TABLES,CHAIRS,VISITORS CHAIRS,AIR CONDITIONERS FOR NEW ZONAL OFFICES -EKITI,ANAMBRA&KATSINA",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,350000000.0,YES,HIGH,Office furniture and equipment for new zonal offices directly supports the EFCC's operational capacity to investigate and prosecute economic and financial crimes across different states.,0
ERGP15225491,"PURCHASE OF HP & DESKJET COULORED, BLACK & WHITE PRINTERS
",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,17500000.0,YES,HIGH,"Printers are essential office equipment needed for the EFCC to produce documents, reports, and evidence materials required for investigating and prosecuting economic and financial crimes.",0
ERGP15225497,"PURCHASE OF SHARP, PANASONIC, RICOH & RANK ZEROX PHOTOCOPYING MACHINES FOR NEW ZONAL OFFICES",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,70000000.0,YES,HIGH,"Photocopying machines are essential office equipment needed for the EFCC's core functions of investigating, documenting, and prosecuting economic and financial crimes, particularly for their expanding operations in new zonal offices.",0
ERGP15225510,"PURCHASE OF HP & INDURSTRAL SCANNERS FOR NEW ZONAL OFFICES
",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,17500000.0,YES,HIGH,"HP and industrial scanners are essential equipment for document analysis, evidence processing, and forensic examination of financial records required for investigating economic and financial crimes across the EFCC's expanding zonal offices.",0
ERGP15225516,ADDITIONAL INFRASTRUCTURE DEVELOPMENT OF 10 NEW HECTARES FOR EFCC ACADEMY AT AIRPORT ROAD ABUJA,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,350000000.0,YES,HIGH,"The EFCC Academy provides training for investigative officers as part of the Commission's mandate, and expanding its infrastructure directly supports this core training function.",0
ERGP15225539,ACQUISITION & RENEWAL OF VARIOUS ICT SOFTWARE & FORENSIC EQUIPMENTS LICENSES,111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,210000000.0,YES,HIGH,"ICT software and forensic equipment licenses are essential tools for the EFCC's core mandate of investigating economic and financial crimes, particularly computer credit card fraud, money laundering, and other digital financial crimes that require specialized technological capabilities for detection and prosecution.",0
ERGP15226105,"ACQUISITION OF ICT HARDWARES, FORENSIC HARDWARES & OTHER CAPITAL PROJECTS",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,277517033.0,YES,HIGH,"ICT and forensic hardware are essential tools for the EFCC's core mandate of investigating computer credit card fraud, analyzing suspicious financial transactions, and collecting evidence for prosecuting economic and financial crimes.",0
ERGP15226503,"PURCHASE OF DELL & HP DESKTOP COMPUTERS & LAPTOPS FOR NEW ZONAL OFFICES
",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,105000000.0,YES,HIGH,"Desktop computers and laptops are essential equipment for EFCC's core functions of investigating financial crimes, analyzing suspicious transactions, maintaining information systems, and supporting operations at new zonal offices.",0
ERGP15226519,"RENEWAL OF CONSULTANCY FOR NEW ACADEMY, ABUJA (ADDITITIONAL 10 HECTARES & MAIN BUILDING)",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,427000000.0,YES,HIGH,"The budget item directly supports the EFCC Academy mentioned in the mandate, which provides training for investigative officers essential to the Commission's core functions of investigating and prosecuting economic and financial crimes.",0
ERGP15234837,"DESIGN AND CONSTRUCTION OF LAGOS OFFICE
",111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),,4200000000.0,YES,HIGH,Constructing a Lagos office directly supports the EFCC's mandate by providing necessary infrastructure for investigating and prosecuting economic and financial crimes in Nigeria's commercial capital.,0
