code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP30102445,UPGRADE OF STATE HOUSE LIBRARY,111001001,STATE HOUSE - HQTRS,,9028123.0,YES,HIGH,Upgrading the State House library falls within the agency's mandate to manage State House facilities and infrastructure as part of the presidential office complex operations.,0
ERGP30114992,DIGITAL MEDICAL REFERENCES FOR THE STATE HOUSE LIBRARY,111001001,STATE HOUSE - HQTRS,,3219762.0,PARTIAL,MEDIUM,"While medical references for a State House library could support presidential operations and staff needs, digital medical references are not explicitly covered under the core mandate of serving as presidential residence/office and managing protocols, though libraries may be part of State House facilities management.",50
ERGP6101477,REHABILITATION OF ANIMAL ENCLOSURE/PROCUREMENT OF VET LAB EQUIPMENT,111001001,STATE HOUSE - HQTRS,,21850216.0,PARTIAL,MEDIUM,"While not explicitly listed in core functions, this could relate to maintaining State House facilities and grounds that may include animal enclosures as part of the presidential complex infrastructure.",50
ERGP6114996,CONVERSION/UPGRADE OF VILLA RANCH AND CONSTRUCTION OF WILDLIFE CONSERVATION CAPTURE,111001001,STATE HOUSE - HQTRS,,38466135.0,PARTIAL,MEDIUM,"While villa ranch conversion may relate to State House facilities management, wildlife conservation capture appears to extend beyond the core mandate of serving as presidential residence and office complex.",50
ERGP6114997,"PURCHASE OF PLANT NURSERY EQUIPMENT FOR PRODUCTION OF LOCAL FLOWERS FOR ROUTINE FLORAL ARRANGEMENT, IRRIGATION AND UPGRADE OF HELIPAD",111001001,STATE HOUSE - HQTRS,,26912671.0,YES,HIGH,"The purchase supports State House facilities management, ceremonial functions, and infrastructure maintenance which are core functions of the presidential residence and office complex.",0
ERGP7101471,SYSTEMATIC COLLECTION AND ASSESSMENT OF DATA ABOUT PROJECTS AND PROGRAMMES TO AID MANAGEMENT TO MAKE DECISIONS.,111001001,STATE HOUSE - HQTRS,,17614879.0,PARTIAL,MEDIUM,"While systematic data collection and assessment could support State House operations management and presidential decision-making, this broadly worded item lacks specificity to core State House functions and could potentially extend beyond the agency's residential, ceremonial, and administrative mandate.",50
ERGP7102420,"PURCHASE OF VARIOUS OFFICE EQUIPMENT FOR THE ADMIN, FINANCE & ACCOUNTS WORKS, ICT, PROCUREMENT, PRS AND AUDIT DEPARTMENTS",111001001,STATE HOUSE - HQTRS,,39255404.0,YES,HIGH,"Office equipment for administrative departments (Admin, Finance, ICT, Procurement, PRS, and Audit) directly supports the State House's core mandate to manage State House administration and coordinate all State House operations.",0
ERGP26102464,"PURCHASE OF SPORTING EQUIPMENT FOR STATE HOUSE SPORTS CLUB.
",111001001,STATE HOUSE - HQTRS,,8970837.0,PARTIAL,MEDIUM,"While sporting equipment for a State House sports club could relate to staff welfare and facility management within the presidential complex, it appears peripheral to the core mandate of serving as presidential residence/office and managing presidential protocols.",50
ERGP26223957,PROCUREMENT /MAINTENANCE OF EQUIPMENT FOR THE STATE HOUSE CENTRAL GYMNASIUM,111001001,STATE HOUSE - HQTRS,,11713350.0,YES,HIGH,The procurement and maintenance of gymnasium equipment falls within the State House's mandate to manage facilities and infrastructure that support the presidential complex and its operations.,0
ERGP27101865,RENOVATION WORK ON 8 NO. BLOCKS OF 16 NO. 2 B/R FLATS AT STATE HOUSE SECURITY QUARTERS.,111001001,STATE HOUSE - HQTRS,,84198642.0,YES,HIGH,Renovating security quarters directly supports the agency's mandate to provide presidential security coordination and manage State House facilities and infrastructure.,0
ERGP27201255,"CONSTRUCTION OF OFFICE COMPLEX FOR Sas and SSAs
",111001001,STATE HOUSE - HQTRS,,1281548143.0,YES,HIGH,Construction of office complex for Special Advisers (SAs) and Senior Special Advisers (SSAs) directly supports the agency's mandate to manage State House facilities and infrastructure while providing presidential support services.,0
ERGP27223750,"ANNUAL ROUTINE MAINTENANCE OF MECHANICAL/ELECTRICAL INSTALLATION, BUILDING/CIVIL AND ENVIRONMENTAL SERVICES WITHIN AND AROUND VILLA",111001001,STATE HOUSE - HQTRS,,4229108872.0,YES,HIGH,"This budget item directly supports the agency's mandate to manage State House facilities and infrastructure, which is essential for maintaining the presidential residence and office complex.",0
ERGP27223756,"JULIUS BERGER LIABILITIES AND OTHER MAINTENANCE LIABILITIES OWED AS FROM 2022 TILL DATE, INCLUSIVE OF KADUNA WORK, RETENTION AND ADDITIONAL WORKS",111001001,STATE HOUSE - HQTRS,,8347076214.0,PARTIAL,MEDIUM,"The maintenance liabilities could relate to State House facilities maintenance which aligns with mandate, but the inclusion of ""Kaduna work"" suggests activities outside the Abuja presidential complex scope.",50
ERGP27223765,"ACQUISITION, RENOVATION AND REHABILITATION OF EFCC FORFEITED PROPERTIES TO BE USED AS STATE HOUSE QUARTERS IN ABUJA",111001001,STATE HOUSE - HQTRS,,1281548143.0,YES,HIGH,Acquiring and renovating properties for State House quarters directly supports the agency's mandate to serve as presidential residence and office complex and manage State House facilities and infrastructure.,0
ERGP27223772,"PROVISION FOR THE ANNUAL MAINTENANCE OF THE PRESIDENTIAL VILLA, ABUJA FOR WORKS AS DIRECTED",111001001,STATE HOUSE - HQTRS,,3844644429.0,YES,HIGH,Annual maintenance of the Presidential Villa directly aligns with the agency's statutory function to manage State House facilities and infrastructure as the presidential residence and office complex.,0
ERGP27223952,RENOVATION O 4 NOS (SH ARMY) RESIDENCE ALONG ALI AKILU CRESCENT (UPPER AND LOWER ARTILLERY QUARTERS,111001001,STATE HOUSE - HQTRS,,373894285.0,YES,HIGH,"Renovating State House Army residences along Ali Akilu Crescent falls within the agency's mandate to manage State House facilities and infrastructure, as these quarters house security personnel essential to presidential operations.",0
ERGP27223960,"PROVISION OF FACILITY MANAGEMENT SERVICES FOR STATE HOUSE GYMNASIUM, AUDITORIUM COMPLEXES, VP GUEST HOUSE ASOKORO, CENTRAL STORE AND HOUSES",111001001,STATE HOUSE - HQTRS,,51345995.0,YES,HIGH,"Facility management services for State House facilities including gymnasium, auditorium, VP Guest House, and other complexes directly supports the agency's mandate to manage State House facilities and infrastructure while accommodating the Vice President's office and coordinating State House operations.",0
ERGP27234833,"SOLARIZATION OF THE VIILLA WITH WITH SOLAR MINI GRID
",111001001,STATE HOUSE - HQTRS,,7000000000.0,YES,HIGH,Installing solar power infrastructure at the Villa directly supports the agency's mandate to manage State House facilities and infrastructure as the presidential residence and office complex.,0
ERGP29114994,"PROVISION OF ELECTRONIC DOCUMENT MANAGEMENT SYSTEM (EDMS).
",111001001,STATE HOUSE - HQTRS,,35179969.0,YES,HIGH,"An electronic document management system directly supports State House administration, presidential support services, and coordination of executive operations which are core statutory functions of the State House headquarters.",0
ERGP29178543,"REPLACEMENT OF VILLA TELECOMMUNICATIONS INFRASTRUCTURE
",111001001,STATE HOUSE - HQTRS,,51261926.0,YES,HIGH,"Replacing villa telecommunications infrastructure directly supports the State House's core function of serving as the presidential office and residence complex, which requires modern communication systems for executive operations.",0
ERGP29223754,PROCUREMENT AND INSTALLATION OF AUDITING SOFTWARE TOOLS - ( AUDIT MANAGEMENT SOLUTION) HAREWARE AND SOFTWARE INCLUSIVE OF TRAINING.,111001001,STATE HOUSE - HQTRS,,26912511.0,NO,HIGH,"Procurement of auditing software tools falls outside State House Headquarters' core mandate of serving as presidential residence and office complex, as auditing functions are not among their statutory responsibilities for managing presidential protocols, ceremonies, and State House operations.",100
