code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP1245689,"PROVISION OF INSTRUCTIONAL MATERIALS FOR SELECTED SCHOOLS IN KHANA/GOKANA FEDERAL CONSTITUENCY, RIVERS STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4509,54.91
ERGP1245692,"TRAINING AND EMPOWERMENT OF ARTISANS ON SKILL DEVELOPMENT AND HOTEL MAINTENANCE IN SURULERE 2 FEDERAL CONSTITUENCY, LAGOS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.3735,62.65
ERGP1245694,"CAPACITY BUILDING AND TRAINING OF YOUTHS AND WOMEN IN SURULERE 2 FEDERAL CONSTITUENCY, LAGOS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4143,58.57
ERGP1245696,CONSTRUCTION OF SCHOOL OF SCIENCE AND ENTREPRENUERIAL STUDIES EKIRIN AADE PHASE V MULTIPLE LOTS,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1050000000.0,0.4673,53.27
ERGP1245698,"SUPPLY AND INSTALLATION OF SOLAR POWERED STREET LIGHTS IN OGHO/ OSSE LOCAL GOVERNMENT, ONDO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,21000000.0,0.2628,73.72
ERGP1245701,"PURCHASE OF D8 CATERPILLAR, D8 BULLDOZER CATERPILLAR, G14 CATERPILLAR GRADER, AND FORD TRACKTORS FOR SOME SELECTED FARMERS ASSOCIATION IN",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,700000000.0,0.234,76.6
ERGP1245704,SOLAR RENEWABLE ENERGY ESTABLISHMENT FOR FOR SECURITY LIGHTING IN LAGOS MULTIPLE LOTS,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,840000000.0,0.2238,77.62
ERGP1245707,"ESTABLISHMENT OF AGRIC VALUE CHAIN PROCESSING ZONE (GARRI, ELUBO PALM OIL ETC.) IN OGUN STATE. MULTIPLE LOTS",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1050000000.0,0.4189,58.11
ERGP1245724,SUPPLY OF AGRICULTURAL INPUTS AND FOOD ITEMS TO SELECTED COMMUNITIES IN KOGI. MULTIPLE LOTS,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,490000000.0,0.3293,67.07
ERGP1245726,PROVISION OF COASTER BUSES FOR VARIOUS ORGANIZATIONS IN IKEJA FEDRAL CONSTITUENCY. MULTIPLE LOTS,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1120000000.0,0.2795,72.05
ERGP1245728,CASH GRANT FOR FARMERS COOPERATIVE SOCIETY IN ODE COMMUNITIES OF OGUN STATES,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.6049,39.51
ERGP1245732,CASH GRANT FOR FARMERS COOPERATIVE SOCIETY IN IPARA COMMUNITIES OF OGUN STATES,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.5918,40.82
ERGP1245784,"PROVISION OF SOLAR LIGHTS MADE WITH MONOCRYSTALLINE SOLAR MODULES, 60W LED OUTPUT AND LITHIUM BATTERIES FOR RELIGIOUS ORGANIZATIONS IN IKEJA",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.1608,83.92
ERGP1245785,"FENCING AND FURNISHING OF COMMUNITY HALL, JAPARA, IJEBU IGBO, OGUN STATE.
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.429,57.1
ERGP1245786,CONSTRUCTION OF ROAD AT RIMA VALLEY IRRIGATION PROJECT SIDE GORONYO DAM FOR FARMER ACCESS ROADBPHASE 2 (MULTIPLEL LOTS),FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1400000000.0,0.2806,71.94
ERGP1245787,"TRAINING OF FARMERS ON COCOA PRODUCTION, SUPPLY OF COCOA SEEDS, TOOLS AND MOVABLE EQUIPMENT TO FARMERS INBOLUWADURO/IFEDAYO/ILA FEDERAL",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.5031,49.69
ERGP1245788,"SUPPLY OF MOTORCYCLES FOR EMPOWERMENT OF COOPERATIVE YOUTHS IN UGHELLI NORTH/SOUTH/UDU FEDERAL CONSTITUENCY, DELTA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,245000000.0,0.4054,59.46
ERGP1245789,"SUPPLY OF TRICYCLES FOR EMPOWERMENT OF COOPERATIVE YOUTHS IN UGHELLI NORTH/SOUTH/UDU FEDERAL CONSTITUENCY, DELTA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.3836,61.64
ERGP1245790,"SUPPLY OF SMART COOKING GAS FOR WOMEN IN KONTAGORA/WUSHISHI/MARIGA/MASHEGU FEDERAL CONSTITUENCY, NIGER STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,105000000.0,0.3002,69.98
ERGP1245791,"CONSTRUCTION AND INSTALLATION OF SOLAR STREET LIGHTS IN KONTAGORA/WUSHISHI/MARIGA/MASHEGU FEDERAL CONSTITUENCY, NIGER STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,210000000.0,0.2338,76.62
ERGP1245792,"SUPPLY OF MOTORCYCLES TO RELIGIOUS LEADERS AND WARD HEAD IN SHIRORO/RAFI/MUNYA FEDERAL CONSTITEUNCY, NIGER STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.3269,67.31
ERGP1245793,"COMMUNITY SUPPORT PROGRAMME FOR WOMEN IN AKINYELE/LAGELU FEDERAL CONSTITUENCY, OYO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.4217,57.83
ERGP1245794,"PROVISION OF SOLAR STREET LIGHTS IN SELECTED COMMUNITIES IN EKITI, KWARA AND OSUN STATES",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2135,78.65
ERGP1245795,"SUPPLY AND DISTRIBUTION OF 65 HORSE POWER TRACTORÃ¢â¬â¢S, LIGHT DUTY TRACTORÃ¢â¬â¢S IMPLIMENT AND LIGHT DUTY TRACTOR TRUCKS TO ENHENCE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1750000000.0,0.2561,74.39
ERGP1245796,"SUPPLY AND DISTRIBUTION OF SELF PRIMING 2 INCH WATER PUMPING MACHINES, WIDELY USE FOR IRRIGATION FARMING WITH 10 YARD SUCTION HOSE AND 40 METER",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,1750000000.0,0.2151,78.49
ERGP1245797,"SUPPLY AND DISTRIBUTION OF 65 HORSE POWER TRACTORÃ¢â¬â¢S, LIGHT DUTY TRACTORÃ¢â¬â¢S IMPLIMENT AND LIGHT DUTY TRACTOR TRUCKS TO ENHENCE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,2100000000.0,0.2561,74.39
ERGP1245798,"SUPPLY AND DISTRIBUTION OF SELF PRIMING 2 INCH WATER PUMPING MACHINES, WIDELY USE FOR IRRGATION FARMING WITH 10 YARD SUCTION HOSE AND 40 METER",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,2100000000.0,0.2226,77.74
ERGP1245799,"SUPPLY AND DISTRIBUTION OF 65 HORSE POWER TRACTORÃ¢â¬â¢S, LIGHT DUTY TRACTORÃ¢â¬â¢S IMPLIMENT AND LIGHT DUTY TRACTOR TRUCKS TO ENHENCE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,2100000000.0,0.2561,74.39
ERGP1245803,"ACQUISITION AND INSTALLATION OF SECURITY STREETLIGHTS IN DIFFERENT ZONES
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.0234,97.66
ERGP1245804,"PROCUREMENT AND INSTALLATIONS OF SOLAR STREET LIGHT IN COMMUNITIES AROUND BASANYIN, KWARA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.2271,77.29
ERGP1245806,"CONSTRUCTION OF BLOCK OF CLASSROOMS AT GOVERNMENT DAY SECONDARY SCHOOL, UGWAN TOFA,",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,700000000.0,0.3987,60.13
ERGP1245807,"SUPPLY OF FOOD AND GRAINS TO VULNERABLE COMMUNITIES IN BIRNIN MAGAJI
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,210000000.0,0.2603,73.97
ERGP1245809,"FOOD SUPPLY AND GRAIN IN KAURA NAMODA
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,175000000.0,0.2142,78.58
ERGP1245810,"CONSTRUCTION OF MINI - STADIUM WITH FLOOD LIGHTS AND SOLAR BOREHOLES IN ILAWE EKITI, EKITI SOUTH SENATORIAL DISTRICT",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.2188,78.12
ERGP1245811,"INSTALLATION OF ALL IN ONE SOLAR STREET LIGHT IN SOME SELECTED COMMUNITIES IN BARUTEN LGA, BARUTEN/KAIAMA FEDERAL CONSTITUENCY, KWARA STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.2398,76.02
ERGP1245812,"PROVISION OF AGRICULTURAL INPUTS FOR FARMERS IN BARUTEN/KAIAMA FEDERAL CONSTITUENCY, KWARA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4174,58.26
ERGP1245814,"CONSTRUCTION OF A BLOCK OF TWO (2) CLASSROOMS AND PROVISION OF FURNITURE IN KAIAMA, BANNI, SHIYA, ILESHA AND ADENA COMMUNITIES IN",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.4252,57.48
ERGP1245815,"CONSTRUCTION OF HAND PUMP BOREHOLES IN SOME SELECTED COMMUNITIES IN BARUTEN/KAIAMA FEDERAL CONSTITUENCY, KWARA STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.2536,74.64
ERGP1245817,"SUPPLY OF EMPOWERMENT MATERIALS TO KANO MUNICIPAL FEDERAL CONSTITUENCY, KANO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,175000000.0,0.4321,56.79
ERGP1245818,"ROAD CONSTRUCTION AND EROSION CONTROL IN IBIONO,ITU/OBIONO IBOM FEDERAL CONSTITUENCY OF AKWA IBOM.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,273000000.0,0.3573,64.27
ERGP1245819,"CONSTRUCTION OF TWO NO. 3 CLASSROOM BLOCKS IN SELECTED LOCATIONS IN ITU/IBIONO IBOM FEDERAL CONSTITUENCY, AKWA IBOM",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,98000000.0,0.4385,56.15
ERGP1245820,"PROVISION OF SOLAR POWERED BOREHOLES IN ITU AND IBIONO LOCAL GOVERNMENT AREA, ITU/IBIONO IBOM FEDERAL CONSTITUENCY, AKWA IBOM",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.2756,72.44
ERGP1245821,"PROVISION OF SOLAR POWERED STREET LIGHT IN SELECTED COMMUNITIES IN ITU/IBIONO IBOM FEDERAL CONSTITUENCY, AKWA IBOM",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2538,74.62
ERGP1245822,"CONSTRUCTION OF DUCT CULVERT'S BRIDGE AND ASSENT AND DESCENT PORTIONS OF AYAGHA-OGINIBO ROAD IN UGHELLI SOUTH LGA, DELTA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.2496,75.04
ERGP1245823,"PROVISION OF TWO UNITS OF EIGHT (8) CLASSROOMS EACH IN SELECTED COMMUNITIES IN KHANA/GOKANA FEDERAL CONSTITUENCY, RIVERS STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.494,50.6
ERGP1245824,"PROVISION OF FURNITURE IN THE TWO UNITS OF EIGHT (8) CLASSROOMS EACH IN SELECTED COMMUNITIES IN KHANA/GOKANA FEDERAL CONSTITUENCY, RIVERS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,105000000.0,0.3727,62.73
ERGP1245825,"PROVISION OF ALL-IN-ONE SOLAR STREET LIGTHS IN SELECTED COMMUNITIES IN KHANA/GOKANA FEDERAL CONSTITUENCY, RIVERS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2501,74.99
ERGP1245826,"PROVISION OF AGRICULTURAL INPUTS IN KHANA/GOKANA FEDERAL CONSTITUENCY, RIVERS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.3996,60.04
ERGP1245828,PROVISION OF SOLAR STREET LIGHTS FOR SELECTED COMMUNITIES IN ABUA- ODUAL/AHOADA EAST FEDERAL CONSTITUENCY,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2499,75.01
ERGP1245829,PROVISION OF AGRICULTURAL INPUTS FOR SELECTED FARMERS IN ABUA- ODUAL/AHOADA EAST FEDERAL CONSTITUENCY,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4307,56.93
ERGP1245830,SUPPLY OF SOLAR STREET LIGHTS IN EKITI SOUTH WEST/IKERE/ ISE-ORUN FEDERAL CONSTITUENCY I,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2492,75.08
ERGP1245832,"SUPPLY OF SOLAR STREETLIGHTS IN EKITI SOUTH FED. CONSTITUENCY II/GBONYIN/EMURE/EKITI EAST LGA, EKITI STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.2265,77.35
ERGP1245834,"EROSION CONTROL AND CONSTRUCTION OF STONE PITCH DRAINAGES IN ADO/IREPODUN-IFELODUN FEDERAL CONSTITUENCY, EKITI STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,175000000.0,0.2674,73.26
ERGP1245835,"SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS AND TRANSFORMERS IN ADO/IREPODUN-IFELODUN FEDERAL CONSTITUENCY, EKITI STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2921,70.79
ERGP1245836,"CONSTRUCTION OF CIVIC ICT CENTER IN ADO-EKITI,IN ADO/IREPODUN-IFELODUN FEDERAL CONSTITUENCY, EKITI STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4645,53.55
ERGP1245838,"REHABILITATION AND FURNISHING OF SELECTED SCHOOLS IN OJO FEDERAL CONSTITUENCY, LAGOS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.4394,56.06
ERGP1245839,"SUPPLY AND DISTRIBUTION OF INSTRUCTIONAL MATERIALS TO SELECTED SCHOOLS IN OJO FEDERAL CONSTITUENCY, LAGOS STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.5086,49.14
ERGP1245840,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHTS IN OJO FEDERAL CONSTITUENCY, LAGOS STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2601,73.99
ERGP1245841,"SUPPLY OF AGRICULTURAL IMPLEMENTS TO FARMERS IN OJO FEDERAL CONSTITUENCY, LAGOS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4056,59.44
ERGP1245842,PROVISION OF SOLAR POWERED IRRIGATION SYSTEM FOR FARMS IN BADAGRY FEDERAL CONSTITUENCY,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2558,74.42
ERGP1245843,"CONSTRUCTION AND EQUIPPING OF BLOCKS OF CLASSROOMS IN YEWA NORTH/IMEKO AFON FEDERAL CONSTITUENCY, OGUN STATE (LOT 1-3)",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,420000000.0,0.4574,54.26
ERGP1245844,"COMPLETION OF ADDITIONAL MATERIALS TO CBT CENTRE,NAZARETH HIGH SCHOOL, IMEKO,OGUN STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.5297,47.03
ERGP1245845,"CONSTRUCTION AND EQUIPMENT OF HOSPITAL IN IRELE/OKITIPUPA CONSTITUENCY, ONDO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.365,63.5
ERGP1245846,CONSTRUCTION OF BLOCKS OF CLASSROOMS WITH NORMAL BLOCKS AND FURNITURE IN SELECTED SCHOOLS IN AKURE NORTH L/G AND AKURE SOUTH L/G OF AKURE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,210000000.0,0.3111,68.89
ERGP1245847,CONSTRUCTION AND INSTALLATION OF SOLAR POWERED STREET LIGHTS IN AKURE NORTH L/G AND AKURE SOUTH L/G OF AKURE NORTH/AKURE SOUTH FEDERAL,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2007,79.93
ERGP1245848,SUPPLY OF TRICYCLE TO EASE TRANSPORTATION OF FARM PRODUCE IN OWO/OSE LOCAL GOVERNMENT ONDO STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.336,66.4
ERGP1245849,SUPPLY AND INSTALLATION OF SOLAR POWERED STREETLIGHTS IN SELECTED AREAS OF ODO-OTIN/IFELODUN/BORIPE FEDERAL CONSTITUENCY OSUN STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.2431,75.69
ERGP1245850,SUPPLY OF MOTORCCLES TO ODO-OTIN/IFELODUN/BORIPE FEDERAL CONSTITUENCY OSUN STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.3695,63.05
ERGP1245851,"SUPPLY OF FOOD ITEMS TO ODO-OTIN/IFELODUN/BORIPE FED. CONST. OSUN STATE
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4621,53.79
ERGP1245852,SUPPLY OF USED SIENNA BUSES TO ODO-OTIN/IFELODUN/BORIPE FEDERAL CONSTITUENCY OSUN STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.3508,64.92
ERGP1245854,"RENOVATION OF SCHOOLS IN EGBEDA/ONA ARA FEDERAL CONSTITUENCY, OYO STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.4079,59.21
ERGP1245855,"RENOVATION OF SCHOOLS AND PROVISIONOF INSTRUCTIONAL MATERIALS IN AFIJIO/ATIBA/OYO EAST AND WEST FEDERAL CONSTITUENCY, OYO STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4683,53.17
ERGP1245856,CONSTRUCTION AND FURNISHING OF A BLOCK OF 6 CLASSROOMS IN IBADAN SOUTHWEST LOCAL GOVERNMENT OF IBADAN NORTHWEST/IBADAN SOUTHWEST,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.515,48.5
ERGP1245858,CONSTRUCTION AND FURNISHING OF A BLOCK OF 6 CLASSROOMS IN IBADAN NORTHWEST LOCAL GOVERNMENT OF IBADAN NORTHWEST/IBADAN SOUTHWEST,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.5192,48.08
ERGP1245859,"PROVISION OF 3 IN 1 INTEGRATED SOLAR POWER STREET LIGHTS IN IBADAN NORTHWEST/IBADAN SOUTHWEST FEDERAL CONSTITUENCY, IBADAN, OYO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2924,70.76
ERGP1245860,"CONSTRUCTION OF ROADS IN IBADAN NORTHWEST/ IBADAN SOUTHWEST FEDERAL CONSTITUENCY, IBADAN, OYO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.402,59.8
ERGP1245861,"PROVISION OF GRANTS FOR TRADERS, PENSIONERS, SENIOR CITIZENS IN SURULERE 2 FEDERAL CONSTITUENCY, LAGOS STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.4188,58.12
ERGP1245862,AGRICULTURAL BUSINESS SUPPORT IN AKAMKPA/BIASE FEDERAL CONSTITUENCY CROSS RIVER STATE.,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.5074,49.26
ERGP1245864,"STRATEGIC EMPOWERMENT FOR WOMEN AND YOUTHS IN EKITI CENTRAL FEDERAL CONSTITUTENCY II, EKITI STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.3874,61.26
ERGP1245865,"SUPPLY OF MOTORCYCLES AT HADEJIA FEDERAL CONSTITUENCY, JIGAWA STATE
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.285,71.5
ERGP1245866,"SUPPLY OF MOTORCYCLES AT KAFIN HAUSA/AUYO FEDERAL CONSTITUENCY, JIGAWA STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.3187,68.13
ERGP1245867,SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS ACROSS SOUTHWEST. SANDCRETE BLOCKS (NORMAL BLOCKS),FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,210000000.0,0.0784,92.16
ERGP1245869,"SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS IN ODO- OTIN/IFELODUN/BORIPE FEDERAL CONSTITUENCY, OSUN STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.2903,70.97
ERGP1245870,EMPOWERMENT MATERIALS FOR YOUTH AND WOMEN IN KANO MUNICIPAL FEDERAL CONSTITUENCY KANO STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.3432,65.68
ERGP1245873,"BUSINESS SUPPORT GRANT FOR TRADERS IN ADO/IREPODUN-IFELODUN FEDERAL CONSTITUENCY, EKITI STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4711,52.89
ERGP1245875,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHT ALONG ONDO/OKITIPUPA ROAD, ORE, MAYOWA IN ODIGBO LOCAL GOVERNMENT OF ONDO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.2547,74.53
ERGP1245876,PURCHASE AND SUPPLY OF SECURITY OPERATIONAL VEHICLE FOR EKITI SOUTH WEST/IKERE/ISE-ORUN FEDERAL CONSTITUENCY 1,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.3853,61.47
ERGP1245877,EDUCATIONAL SUPPLIES TO SELECTED SECONDARY SCHOOL IN EKITI SOUTH WEST/IKERE/ISE-ORUN FEDERAL CONSTITUENCY 1,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4257,57.43
ERGP1245916,SKILL ACQUISITION FOR WOMEN AND YOUTH IN EKITI SOUTH WEST/IKERE/ISE-ORUN FEDERAL CONSTITUENCY 1,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,105000000.0,0.3789,62.11
ERGP1245917,SUPPLY OF MOTOR CYCLES TO SELECTED PEOPLE IN EKITI SOUTH WEST/IKERE/ISE- ORUN FEDERAL CONSTITUENCY 1,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,119000000.0,0.3361,66.39
ERGP1245918,"DATA PROTECTION CAPACITY DEVELOPMENT TRAINING FOR YOUTHS IN IBADAN NORTH WEST, IBADAN SOUTH WEST FEDERAL CONSTITUENCY, OYO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,94500000.0,0.3456,65.44
ERGP1245919,"CYBER SECURITY AWARENESS TRAINING FOR YOUTHS IN IBADAN NORTH WEST, IBADAN SOUTH WEST FEDERAL CONSTITUENCY",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70259027.0,0.3676,63.24
ERGP1245920,"SUPPLY AND EMPOWERMENT OF ITEMS TO YOUTHS IN OWO/OSE FEDERAL CONSTITUENCY, ONDO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.4018,59.82
ERGP1245921,"SUPPLY MOTORCYCLE IN KATSINA CENTRAL FEDERAL CONSTITUENCY
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.3563,64.37
ERGP1245922,"FREE MEDICAL OUTREACH IN ITU/IBIONO IBOM FEDERAL CONSTITUENCY,AKWA IBOM STATE/",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,35000000.0,0.3966,60.34
ERGP1245923,"PROVISION OF SOLAR STREETIGHTS WITHN ONDOEAST/WEST RURAL COMMUNITIES, ONDO STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,21082629.0,0.2591,74.09
ERGP1245924,"PROVISION OF SOLAR STREET LIGHT IN KAFUR KAFUR LOCAL GOVERNMENT AREA. MALUMFASHI/KAFUR FEDERAL CONSTITUENCY, KATSINA STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,330907917.0,0.2287,77.13
ERGP1245925,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHTS AT OKE ISOKUN, OYO STATE
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,175000000.0,0.2471,75.29
ERGP1245926,SUPPLY OF VARIOUS EMPOWERMENT MATERIALS TO OWO LOCAL GOVERNMENT OF ONDO STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.4559,54.41
ERGP1245927,SUPPLY OF VARIOUS EMPOWERMENT MATERIALS TO ISE LOCAL GOVERNMENT OF ONDO STATE,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,280000000.0,0.4778,52.22
ERGP1245928,"SUPPLY AND INSTALLATION OF SOLAR-POWERED STREET LIGHTS IN IGUSHIN/IGBATORO, AKURE SOUTH LGA, ONDO STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,7000000.0,0.256,74.4
ERGP1245929,"DISTRIBUTION OF AGRICULTURAL GRAINS ACROSS ONDO CENTRAL SENATORIAL DISTRICT, ONDO STATE.",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,105000000.0,0.2902,70.98
ERGP1245930,"CONSTRUCTION AND EQUIPPING OF LIVESTOCK FARM AT GOVERNMENT SCIENCE COLLEGE IYIN EKITI, EKITI STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,175000000.0,0.531,46.9
ERGP1245931,"PROVISION OF EMPOWERMENT MATERIALS TO YOUTHS AND WOMEN IN LAGOS EAST
",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,84000000.0,0.3637,63.63
ERGP1245933,"CONSTRUCTION AND FURNISHING NSCDC TRAINING SCHOOL, NATON FUSA, JOS EAST PLATEAU STATE",FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,560000000.0,0.5796,42.04
ERGP1245934,CONSTRUCTION OF SOLAR POWERED BOREHOLES IN SELECTED SECONDARY SCHOOLS IN BAUCHI SOUTH SENATORIAL DISTRICT,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,140000000.0,0.2391,76.09
ERGP1245935,SUPPLY OF AGRICULTURAL IMPLEMENTS TO AID FARMERS IN BAUCHI SOUTH SENATORIAL DISTRICT,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,105000000.0,0.391,60.9
ERGP1245936,PROVISION OF ELECTRICITY AND TRANSFORMERS TO TSE-GIRGI IN LOGO LGA OF BENUE NORTH EAST SENATORIAL DISTRICT,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,70000000.0,0.4025,59.75
ERGP1245937,PROCUREMENT AND INSTALLATION OF TRANSFORMERS ACROSS COMMUNITIES IN DELTA NORTH SENATORIAL DISTRICT,FEDERAL CO-OPERATIVE COLLEGE- IBADAN,,350000000.0,0.2838,71.62
